town,riverName,station,typicalRangeHigh,lat,typicalRangeLow,lon,label
Gloucester,Twyver,2670,0.042,51.848419,-0.006,-2.217412,Saintbridge
Chartham,Great Stour,E3951,1,51.257785,0.151,1.030079,Horton weir
Barnsley,River Dearne,F0806,1,53.560696,0.142,-1.473078,Barnsley
Kingsnorth,White Water Dyke Tributary  East Stour,E4402,0.338,51.121217,0.012,0.85627,White Water Dyke
Catford,Pool River,4369TH,0.75,51.435695,0.071,-0.027404,Winsford Road
East Budleigh,Budleigh Brook,45213,0.666,50.652217,0.496,-3.320001,East Budleigh
Oulton Broad,River Waveney,E24823,1.31,52.474903,-0.23,1.71041,Oulton Broad
Washford,Washford River,51107,0.8,51.14633,0.15,-3.373795,Beggearn Huish
Beaminster,River Brit,44131,0.62,50.807196,0.2,-2.739279,Beaminster
Abingdon,Ock,1790TH,0.8,51.666656,0,-1.305189,Abingdon
Haltwhistle,River Tyne,023027,1.096,54.967781,0.166,-2.460104,Haltwhistle
Bridge Rule,Tamar,47131,2.3,50.799229,0.146,-4.450269,Bridge Rule
Windley,River Ecclesbourne,4055,0.9,52.998306,0.142,-1.525391,Duffield
New Alresford,Cheriton Stream,E12781,0.6,51.086429,0.125,-1.181847,Sewards Bridge
Evesham,River Avon,2002,1.9,52.092165,0.46,-1.942876,Evesham
Butts Bridge,Lugg,055021_TG 305,2.6,52.226571,0.763,-2.730348,Butts Bridge
Evedon,Slea,E1750,0.554,53.022732,0.038,-0.379369,Leasingham Mill
Cockfield,River Brett,E21058,0.75,52.135453,0.015,0.794489,Cockfield
Beetham,River Bela,731013,0.669,54.218531,0.195,-2.774107,Beetham Weir
Crookham Village,Hart,2455TH,1.15,51.262934,0.358,-0.867562,Crookham Village
Rolleston On Dove,River Dove,4018,1.75,52.855534,0.492,-1.648727,Marston on Dove
Brendon,East Lyn River,50150,1.668,51.219143,1.202,-3.751991,Brendon
Evenlode,Evenlode,1210TH,1.17,51.95095,0.405,-1.679842,Evenlode Bridge
Gloucester,Daniels Brook,2225,0.162,51.832287,0,-2.270144,Bodiam Avenue
Bray,Thames,2607TH,0.314,51.509305,0.096,-0.69032,Bray Lock
Beacon End,River Colne,E22761,1.54,51.89895,0.1,0.851031,Lexden
Farnworth,Croal,690408,0.7,53.557357,0.07,-2.388815,Farnworth
North Wootton,Babingley River,E21183,3.448,51.898975,0.028,0.358984,Kilham's Bridge
Leek,River Churnet,4143,0.505,53.1201,0.183,-2.012802,Leek
Cononley,River Aire,L1505,1.064,53.918229,-0.033,-2.007569,Cononley
Waltham Abbey,Cobbins Brook,5329TH,0.8,51.681471,0.066,0.004958,"Waltham Abbey, Sewardstone Road"
St Blazey,St Blazey Stream,48190,0.75,50.361418,0.107,-4.715659,St Blazey Station Road
Stamford,Welland (Stamford - Peakirk),E2647,0.344,52.654318,0,-0.461033,Hudds Mill
St Ives,River Ouse,E24267,0.355,52.317315,0.136,-0.072946,St Ives
Shrewsbury,River Severn,2077,2.7,52.709797,0.422,-2.75808,Welsh Bridge
Navestock Heath,Roding,5442TH,1.8,51.661693,0.271,0.209122,Shonks Mill Bridge
Threlkeld,Glendermackin,750504,2,54.613784,0.5,-3.050496,Threlkeld
Colney Street,Ver,2819TH,0.5,51.704664,0.064,-0.336052,Colney Street
Trengune,Ottery,47169,1,50.710701,0.112,-4.56631,Trengune
Chertsey,Thames,2902TH,0.402,51.390617,0.131,-0.48637,Chertsey Lock
Exeter,River Exe,45116,1.056,50.734613,0,-3.547352,Exwick
Hedon Westlands Drain,Alverthorpe Beck,L1357,0.45,53.681612,0.04,-1.517112,Wakefield Henry Street Br
Ladock,Tresillian River,48116,0.85,50.321143,0.03,-4.961751,Ladock
Partney,Lymn & Steeping,E1788,0.74,53.187011,0.017,0.096794,Partney
Levisham,Levisham Beck,F25110,0.27,54.299848,0.042,-0.717923,Levisham Mill
Maunby,River Swale,L2304,unknown,54.270085,unknown,-1.467898,Maunby
Tixover,Welland (Rockingham - Stamford),E2141,2.345,52.587333,0.154,-0.568186,Tixover
Reading,Thames,2200TH,6.787,51.461325,6.579,-0.967884,Reading
Croft-on-Tees,River Tees,L3609,5,54.483499,0.321,-1.553528,Croft
Whittonditch,Kennet,2230TH,0.431,51.437409,0.077,-1.576981,Knighton Main
Gloucester,River Severn,2165,3.2,51.864982,0.437,-2.252201,Gloucester (Severn)
Pentlow,River Stour,E22539,1.6,52.085266,0.104,0.665897,Westmill
Nelson,River Calder,712130,1.8,53.836305,0.167,-2.232297,Lomeshaye
Old Whittington,River Rother,F0203,1.5,53.266027,0.225,-1.410737,Whittington
Gloucester,Horsbere Brook,2661,0.356,51.840037,0.113,-2.142115,Witcombe
Horley,Gatwick Stream,3229TH,1.2,51.160212,0.075,-0.163604,Gatwick Link
Gargrave,River Aire,F1508,0.6,53.982002,0.132,-2.097548,Gargrave
Radcliffe,Pioneer Mills,690250,2.7,53.561524,0.362,-2.316991,Pioneer Mills
Kennington,Thames,1501TH,0.222,51.72955,0.003,-1.239792,Iffley Lock
Bredon,River Avon,2128,2,52.03494,0.651,-2.116566,Bredon
Meaford,River Trent,4083,1.486,52.916247,0.471,-2.171867,Darlaston
Diss,River Waveney,E24814,0.95,52.371419,0,1.099743,Diss
Shuthonger,Ripple Brook,2624,1.988,52.013101,0.58,-2.175315,Shuthonger
Bridport,River Asker,44122,0.324,50.731934,0.137,-2.752192,East Bridge Bridport
Woolsington,Ouse Burn,023018,1.3,55.023243,0.031,-1.696521,Woolsington
Buckland Monachorum,River Tavy,47122,1.8,50.493456,0.161,-4.149573,Denham Ludbrook
Thorpe,Chertsey Bourne,2928TH,1.06,51.402823,0.4,-0.539779,Chertsey Bourne
Ilam,River Dove,4046,0.59,53.055864,0.271,-1.782274,Izaak Walton
"Botcherby, Carlisle",River Petteril,764070,0.933,54.89341,0.493,-2.910796,"Botcherby Bridge, Carlisle"
Kingthorpe,Stainfield Beck,E1245,0.69,53.250167,0.03,-0.313829,Stainfield Beck
Horncastle,Waring,E1839,0.68,53.208433,0.032,-0.108817,Horncastle Banks Road
Holme Pierrepont,River Trent,4009,3.6,52.952707,1.014,-1.07772,Colwick
Edenbridge,Eden Tributary  Medway,E1110,2.75,51.194078,0.251,0.065165,Edenbridge
Castle Howe,Lake Bassenthwaite,751020,2.072,54.666243,0.661,-3.236916,Castle Howe
Frampton Cotterell,Bristol Frome,53141,0.346,51.537816,0.032,-2.481077,Frampton Cotterell
Ewen,Thames,0130TH,0.726,51.674733,0,-1.9904,Ewen
Hothfield,Great Stour,E4370,1.65,51.171609,0.077,0.799508,Brown Mill
Othery,Sowy,52157,4.045,51.079805,2.762,-2.869413,Beerwall Upstream
