town,riverName,station,typicalRangeHigh,lat,typicalRangeLow,lon,label
"Eamont Bridge, Beehive, River Lowther",River Lowther,761104,0.959,54.649895,0.325,-2.737527,"Eamont Bridge, Beehive, River Lowther"
Great Shelford,River Cam,E21737,0.395,52.134462,0.127,0.141784,Dernford
Newton,Ise,E2273,1.54,52.43909,0.018,-0.734823,Barford Bridge
Norham,Tweed,021009,2.55,55.722365,0.088,-2.16338,Norham
Roydon,Rye Meads Effluent Channel,5302TH,0.65,51.769207,0.249,0.016685,Rye Meads
Chester-Le-Street,River Wear,024009,3.8,54.854779,0.289,-1.559158,Chester-Le-Street
Hail Weston,River Kym,E21862,1.299,52.253951,0.096,-0.309376,Hail Weston
Martin Dales,Witham,E1191,2.9,53.143044,0.163,-0.241774,Kirkstead Bridge
Hayle,River Hayle (Tidal),48113,unknown,50.175819,unknown,-5.436545,Hayle Tideflap
High Houses,Snaizeholme Beck,F2290,0.85,54.290034,0.068,-2.258043,Low Houses
Werrington Park,River Ottery,47129,1.4,50.655106,0.103,-4.353424,Werrington
Stone,Thame,1911TH,1.58,51.826251,0.406,-0.856541,Aylesbury Thame
Canonbie,Esk (Border),780001,1.425,55.066848,0.437,-2.946363,Canonbie (SEPA Site)
Pontefract,Wash Dike,L1813,0.95,53.699599,0.095,-1.292918,Pontefract Wash Dike
Westy,Mersey,693976,4.14,53.390658,3.548,-2.560365,Westy
Walton,River Hipper,L0235,0.9,53.232071,0.36,-1.45315,Chesterfield
Langdon Common,Harwood Beck,F3581,0.578,54.672923,0.13,-2.235657,Harwood
Shrewsbury,Bagley Brook,2125,0.43,52.714919,0.03,-2.749968,Castle Foregate
Lea Marston,River Tame,4080,0.799,52.541117,0.302,-1.695622,Lea Marston
West Kington,By Brook,53148,0.168,51.493159,0,-2.280981,West Kington
Ripon,River Skell,F2216,0.75,54.13342,0.111,-1.51864,Alma Weir
,,1460_w2TH,unknown,51.861437750431364,unknown,-1.303136939107203,RIVER CHERWELL  AT  ENSLOW
Stinsford,River Frome,44217,0.5,50.71564,0.096,-2.409207,Stinsford
Henley-In-Arden,River Alne,2621,0.546,52.29694,0.387,-1.777373,Henley River
Walkern,Beane,4815TH,0.81,51.919973,-0.07,-0.123165,Walkern
Wadhurst,Teise,E861,0.632,51.097083,0.121,0.3303,Bartley Mill
Carlton Lees,River Derwent,4043,3.3,53.211297,1.037,-1.610938,Chatsworth
Oakworth,Worth,L1405,0.64,53.840419,0.022,-1.945535,Oakworth Mytholmes Lane
Guildford,Wey,3080TH,2.45,51.236036,1.1,-0.578011,Guildford
Penzance,Lariggan River,48188,0.3,50.117377,0.051,-5.552432,Penzance Alverton
Chudleigh,River Teign,46135,1.356,50.595121,0.596,-3.615933,Chudleigh Bridge
,,E21046,unknown,52.1278774322846,unknown,-0.4251822483451797,CARDINGTON SLUICE
Congleton,Dane,681006,0.6,53.166353,0.071,-2.209364,Congleton Park
Reading,Kennet,2298TH,0.2,51.456172,0,-0.954614,Blakes Lock
Burstow,Burstow Stream,3232TH,2.4,51.161389,0.748,-0.135668,Peeks Brook Lane
Great Haywood,River Trent,4006,1.502,52.805262,0.803,-2.011076,Great Haywood
Hereford Bridge,Wye,055807_TG 320,3.3,52.051748,0.096,-2.720173,Hereford Bridge
"Calder Drive, Kendal",Stock Beck,730513,unknown,54.329748,unknown,-2.729924,"Calder Drive, Kendal"
Masham,Swinney Beck,L2241,0.85,54.222568,0.149,-1.662019,"Masham, Swinney Beck"
Laleham,Thames,2901TH,0.291,51.414528,0.076,-0.499731,Penton Hook
Langport,West Moor Main Drain,52154,1.463,51.008129,0.67,-2.832096,Midelney
Water Eaton,River Ouzel,E21505,0.676,51.981248,0.222,-0.715727,Bletchley
Butteryhaugh,River North Tyne,023103,0.515,55.230707,0.082,-2.581702,Kielder Butteryhaugh
Fordham,Snail,E21765,0.172,52.306909,0.049,0.351099,Fordham
Willington,River Trent,4131,2.35,52.848235,0.858,-1.562071,Willington
Sandford Bridge,Rudhall Brook,055027_TG 328,0.313,51.928793,0.075,-2.524006,Sandford Bridge
Penistone,River Don,L0509,0.611,53.527445,0.339,-1.645761,Penistone
Hadleigh,River Brett,E22712,0.85,52.047653,0.299,0.950823,Hadleigh
Eardisland,Arrow,055L010SG,0.75,52.223407,0,-2.851042,Eardisland
Great Chart,Great Stour,E4330,0.452,51.145063,0.103,0.846976,Chart Leacon
Yeovil,River Yeo,52117,0.865,50.943504,0.121,-2.608654,Pen Mill
Bluntisham,River Ouse,E24255,0.918,52.335738,0.298,0.008586,Brownshill
Warenmill,Waren Burn,021037,0.39,55.602485,0.03,-1.769011,Waren Mill
Shifford,Thames,0904TH,0.42,51.70718,0.005,-1.465193,Shifford Lock
Exminster,Exminster Marshes,45141,0.639,50.681467,0.339,-3.470581,Swans Nest
Welhambridge,River Foulness,L3411,1.5,53.798879,-0.385,-0.799526,Welham Bridge
New Malden,Beverley Brook,4040TH,1.63,51.393329,0.912,-0.241392,Motspur Park
Woodthorpe,River Doe Lea,F0103,1.43,53.26654,0.103,-1.337263,Staveley
New Malden,Beverley Brook,4070TH,2,51.410502,0.779,-0.247204,New Malden
Cambridge,Bin Brook,E19035,0.368,52.197227,0.057,0.087527,Bin Brook
Upstreet,Great Stour,E2500,1.279,51.323963,0.367,1.206421,GroveFerry
Stubbins,Irwell,690150,1.3,53.664894,0.006,-2.315043,Stubbins
Sebergham,Caldew,765052,2,54.774406,0.312,-2.993311,Sebergham
Swaythling,Itchen,E12412,1.8,50.935796,1.4,-1.368504,Riverside Park
Virginia Water,Chertsey Bourne,2927TH,1.5,51.399312,0.706,-0.56131,Trumps Green
Frome Rodden,Somerset Frome,531116,0.697,51.230803,0.364,-2.308252,Frome Rodden
Wookey,River Axe,52205,0.749,51.209432,0.421,-2.678492,Wookey
East Harling,River Whittle,E21222,0.301,52.450441,0.047,0.982414,Quidenham
Mirfield,River Calder,L1308,1.2,53.681545,0.201,-1.730465,Heaton Lodge
Epney,River Severn,2153,7,51.797035,1.589,-2.348106,Epney
Kirkby Stephen,Eden,760101,0.707,54.482067,0.072,-2.351872,Kirkby Stephen
Swimbridge,Landkey Brook,50139,0.323,51.053143,0.049,-3.969407,Swimbridge
Newport Pagnell,River Ouse,E21445,0.833,52.089506,0.149,-0.721934,Newport Pagnell
Farndon,River Trent,4071,0.91,53.062491,0.22,-0.852881,Farndon
Chew Stoke,Chew Stoke Brook,53139,0.708,51.35329,0.08,-2.632652,Chew Stoke
Houghton,Arun,E9930,2.5,50.896759,1.4,-0.544372,Houghton Bridge
Martinstown Or Winterborne St Martin,Groundwater level,44208,unknown,50.690658,unknown,-2.479859,Ashton Farm
Southgate,Pymmes Brook,5364TH,2.7,51.616543,2.511,-0.126609,Arnos Park
Worcester,Barbourne Brook,2872,2.4,52.217941,0.874,-2.213213,Perdiswell
Bridport,River Asker,44110,0.65,50.732383,0,-2.752341,Jessop Avenue Bridport
Broughton,Broughton Brook,E21408,0.341,52.058452,0.07,-0.704763,Broughton
Rowfoot,River South Tyne,023006,1.9,54.943457,0.122,-2.513542,Featherstone
Ravensthorpe,Spen Beck,F1385,0.5,53.684963,0.035,-1.660794,Northorpe
Milnrow,Beal,690201,1.22,53.608903,0.133,-2.109832,Station Road
Mockbeggar,Docken's Water,43126,0.301,50.873976,0.094,-1.773255,Moyles Court
Hexworthy,West Dart River,46126,0.877,50.551765,0.251,-3.916854,Dunnabridge
Pateley Bridge,River Nidd,L2107,2.5,54.086062,0.141,-1.761484,Pateley Bridge
Harold Wood,Ingrebourne,5546TH,1.8,51.599864,-0.235,0.249585,Harold Park
Iver,Colne Brook,2884TH,1.5,51.520714,-0.022,-0.500885,Iver Bridge
Swindon,Ray (Wilts),0311TH,0.999,51.553565,0.735,-1.803214,Rushey Platt
Hedon,Burstwick Drain,L3314,unknown,53.735923,unknown,-0.210149,Hedon Westlands Drain
Bolton Upon Dearne,River Dearne,L08013,2,53.514488,0.348,-1.312289,Bolton Bridge
High Wycombe,Wye,2550TH,0.316,51.635466,0,-0.76901,Wycombe Wye
Egremont,Ehen,744130,1.5,54.482917,0.361,-3.52339,Egremont
Northmoor Green,Northmoor Main Drain,52145,2.462,51.073436,2.099,-2.964828,Northmoor PS
Hurn,Moors River,43214,0.64,50.771447,0.23,-1.822108,Hurn Court
Stratford-Upon-Avon,River Avon,2093,0.926,52.191595,0.499,-1.70123,Stratford
Stamfordham,River Pont,022012,1.4,55.040628,0.057,-1.873213,Stamfordham
Low Bentham,Wenning,724323,1.195,54.118746,0.511,-2.53947,Low Bentham
Hothfield,Great Stour,E4321,1.26,51.157688,0.066,0.815185,Hothfield Upstream
Balmerlawn,Lymington,E14270,1.026,50.815958,0.131,-1.550253,Brockenhurst
Yarkhill,Frome,055018_TG 327,1.6,52.081299,0.188,-2.563805,Yarkhill
Greenham,River Tone,52108,0.495,50.974487,0.146,-3.313793,Greenham
Oaksey,Swill Brook,0155TH,1.311,51.632205,0,-2.007169,Oaksey
Chevithorne,River Lowman,45132,0.492,50.917501,0.063,-3.444578,Craze Lowman
Fenay Bridge,Fenay Beck,L1113,0.351,53.636353,0.097,-1.726911,Fenay Bridge
Leeds,River Aire,L1707,1.35,53.794197,0.532,-1.535433,Leeds Crown Point
Charlton,Thames Tideway,0003,unknown,51.496948,unknown,0.020435,Charlton
Whalley,River Calder,712615,2.2,53.81982,0.325,-2.413116,Whalley Weir
Botley,Seacourt Stream,1635TH,1.809,51.753242,1.006,-1.290099,Minns Estate
Whitwood,River Calder,F1301,3,53.726092,1.1,-1.381592,Methley
Grove Park,Spring Brk,4327TH,0.454,51.424134,0.391,-0.003161,Downham Lane
Davenham,Dane,681210,2.4,53.242164,0.244,-2.499533,Rudheath
Blacktoft,River Ouse,L24012,unknown,53.707416,unknown,-0.724365,Blacktoft
Stoke Prior,River Salwarpe,2515,0.362,52.306762,0.127,-2.076947,Stoke Prior
Wolvercote,Thames,1301TH,0.263,51.789307,0,-1.306931,Kings Lock
Midsomer Norton,Wellow Brook,531107,0.133,51.290615,0,-2.483966,Welton
Buxton,River Wye,4197,1.16,53.2536,0.16,-1.904027,Buxton
Axminster,River Axe,45220,1.074,50.795583,0.374,-2.98435,Weycroft Bridge
Saxmundham,River Fromus,E24830,1.76,52.217851,0,1.492103,Saxmundham
Steeple Bumpstead,Bumpstead Brook,E22518,1.11,52.049066,0.015,0.461993,Broad Green
Great Bardfield,River Pant,E22778,1.27,51.955175,0.05,0.426847,Copford Hall
Cuddington,Thame,1930TH,1.8,51.795602,0.978,-0.944321,Cuddington
Knighton,River Teme,2107,0.981,52.344778,0.532,-3.043943,Knighton
Stoke Ferry,Wissey,E22147,2.036,52.55994,1.621,0.510116,Wissey Sluice
Dartmouth,Tide,46154,unknown,50.35115,unknown,-3.577216,Dartmouth
Cambridge,River Cam,2603,1.25,51.730432,0.141,-2.362218,Cambridge
Stadhampton,Thame,1990TH,2,51.675126,0.567,-1.132094,Stadhampton
Shinfield,Loddon,2473TH,1.063,51.403467,0.278,-0.933245,Arborfield Bridge
Codford St Mary,Chitterne Brook,43117,0.435,51.160588,0.032,-2.043272,Codford
Wath upon Dearne,Brook Dike,L08041,0.322,53.50515,0.142,-1.343017,Wath upon Dearne
Didworthy,River Avon,46117,0.684,50.441465,0.004,-3.852396,Didworthy
St Kew Highway,River Allen,49117,0.8,50.566809,0.053,-4.75052,Penvose
Maidenhead,Maidenhead Ditch,2655TH,0.526,51.528985,0.161,-0.716959,Raymill Road
Easton,Itchen,E12380,1.1,51.088829,0.511,-1.2729,Easton
Compstall,Goyt,692370,0.95,53.404904,0.148,-2.056058,Marple Bridge
Stockdalewath,Roe Beck,765850,1.2,54.79619,0.176,-2.954259,Stockdalewath
Jacobstowe,River Okement,50120,0.791,50.799678,0.235,-3.999785,Jacobstowe
Tellisford,Somerset Frome,53120,1.518,51.30679,0.542,-2.280873,Tellisford
Garstang,Wyre,720107,0.846,53.896103,0.17,-2.779699,Garstang
Ruislip,Pinn,2807TH,1,51.58043,0.136,-0.426065,Ruislip
Sherfield On Loddon,Loddon,2409TH,0.426,51.3188,0.183,-1.019874,Longbridge Mill
Earith,River Ouse,E21747,2.55,52.354128,0.584,0.03732,Earith
Broughton,Irwell,690540,1.113,53.490562,0.212,-2.260696,Lower Broughton
Stourton,River Stour (Worcs),2084,2.4,52.461315,0.105,-2.207471,Stourton
Rivenhall End,River Blackwater,E22815,1.26,51.810408,0.132,0.674711,Appleford Bridge
Lydbrook,Wye,2320,4,51.85366,0.42,-2.578653,Lydbrook
St Ives,North Cornwall Coast,48160,unknown,50.215231,unknown,-5.476421,St Ives Tide
Shillmoor,River Usway Burn,022003,1,55.37209,0.039,-2.209819,Shilmoor
Golden Green,Medway,E560,1.25,51.201686,0.589,0.330336,Hartlake Bridge
Marlow,Thames,2499TH,0.449,51.567382,0.06,-0.769176,Marlow Lock
Kearsley,Irwell,690503,2.3,53.546445,0.624,-2.371963,Kearsley
Eastbourne,Cuckmere & Pevensey Levels,E7312,unknown,50.765655,unknown,0.29568,Eastbourne
North Witham,Witham,E1299,0.84,52.784469,0.079,-0.626388,North Witham
Beningbrough,River Ouse,L2409,3.789,54.01172,0.117,-1.1973,Monkton
Cranleigh,Littlemead Brook,3065TH,1.595,51.142186,1.229,-0.480399,Cranleigh
Stapleton,River Skerne,F3702,0.88,54.510602,0.142,-1.56287,South Park
Bealsmill,River Inny,47139,0.891,50.570244,0.286,-4.318502,Bealsmill
Lealholm,River Esk,L2905,1.5,54.458946,0.069,-0.824521,Lealholm
Fakenham,River Wensum,E25940,0.64,52.827359,0.091,0.847422,Fakenham
Okehampton,East Okement River,50195,0.442,50.738205,0.103,-3.999871,Okehampton Mill Road
Waterbeach,River Cam,E24102,0.316,52.268775,0.24,0.20855,Bottisham
Partington,Sinderland Brk,693132,0.8,53.410314,0.116,-2.413046,Partington
Kingsthorpe,Nene - Brampton Branch,E1660,0.575,52.271031,0.137,-0.922807,Geldharts Mill
Salfords,Salfords Stream,3247TH,2.1,51.204792,0.183,-0.1677,Salfords Bridge
Goring,Thames,2002TH,0.145,51.529995,0,-1.135937,Cleeve Lock
Whitford,River Axe,45211,0.936,50.752859,0.199,-3.047245,Whitford Bridge
Kings Ripton,Bury Brook,E24821,0.95,52.373829,0.071,-0.149082,Kings Ripton
Burnley,River Calder,712100,0.849,53.791155,0.581,-2.247834,Active Way
West Luccombe,Horner Water,51105,0.275,51.201053,0.043,-3.578034,West Luccombe
Swanage,Swan Brook,44227,0.45,50.609187,0.02,-1.962716,Swanage King Georges Field St Marys Church
Bredwardine,Wye,055811_TG 9303,3.8,52.096497,0.27,-2.969481,Bredwardine
Kingston Upon Thames,Hogsmill,3390TH,0.7,51.405736,0.106,-0.302166,Kingston Hogsmill
Northampton,Nene - Brampton Branch,E2928,1.242,52.248411,0,-0.907242,St Andrews Bypass
Hexham,River Tyne,023025,1.105,54.988608,-0.001,-2.141972,Warden Bridge End
Chobham,Addlestone Bourne,2976TH,1.15,51.344527,0.326,-0.604091,Grants Bridge
Penkridge,River Penk,4053,0.756,52.727805,0.217,-2.117669,Penkridge
Westbourne,Ems,E10824,0.8,50.861097,0.058,-0.928616,Westbourne
Spurn Point,North Sea,L3370,unknown,53.576086,unknown,0.108448,Spurn Point
Letcombe Bassett,Letcombe Brook,1761TH,0.198,51.565511,0.058,-1.460667,Letcombe Bassett
Tisbury,River Nadder,43108,1.2,51.061485,0.53,-2.080366,Tisbury
Braughing,Quin,4939TH,0.8,51.904243,0.062,0.020897,Braughing
Cheltenham,Chelt,2223,1.2,51.896062,0,-2.069746,College Road
Broughton,Broughton Beck,L1540,1.2,53.957753,0.088,-2.073107,Broughton Hall
Acton Bridge,Weaver,682223,unknown,53.281649,unknown,-2.637784,Pickerings Cut
Sefton,Dovers Brook,694748,0.645,53.507328,0.202,-2.962574,Dovers Bridge
Sturminster Marshall,North Winterbourne,43233,0.961,50.797163,0,-2.083018,Sturminster Marshall Maggs Bridge
Trawden,Trawden Brook,712175,0.235,53.852195,0.038,-2.140021,Trawden Brook
Little Missenden,Misbourne,2873TH,0.7,51.677124,0.044,-0.650282,Missenden
Churchend,River Chelmer,E22843,1.29,51.884939,0.077,0.365166,Churchend
Bromley,Ravensbourne,4320TH,0.134,51.394835,0.034,0.016838,Bromley
Walton-Le-Dale,Darwen,713122,1.55,53.744555,0.273,-2.6615,Blue Bridge
Athelney,Currymoor Drain,52127,3.2,51.054966,0.62,-2.936065,Currymoor PS
Shifnal,Wesley Brook,2669,0.24,52.67455,0.116,-2.379329,Shifnal
Cleckheaton,Spen Beck,L1388B,0.242,53.720511,0.054,-1.705167,Cleckheaton Thornton Street
Cricklade,Ray (Wilts),0390TH,1.901,51.64017,0.625,-1.826539,Water Eaton
Petts Wood,Kyd Brook,4380TH,0.9,51.39528,0.141,0.078815,Hazelmere Road
Shefford,River Flit,E22351,0.721,52.040422,0.162,-0.335802,Shefford
Charney Bassett,Ock,1757TH,1.444,51.64711,0.485,-1.451462,Charney Bassett
Deeping Gate,Welland Below Peakirk,E2608,0.188,52.671948,0.038,-0.303639,Market Deeping
Fornham St Martin,Lark,E21107,0.393,52.272126,0.081,0.706637,Fornham St Martin
Enfield Wash,Turkey Brook,5349TH,0.85,51.668821,0.05,-0.035081,"Enfield, Albany Park"
Bury,Irwell,690160,1.3,53.598766,0.23,-2.305182,Bury Ground
Llanyblodwel,River Tanat,2038,1.047,52.794313,0.225,-3.110292,Llanyblodwel
Wakefield,Ings Beck,L1355,0.6,53.678129,0.224,-1.504919,Wakefield Colinsway
Podmore,Wendling Beck,E22078,1.8,52.681119,0,0.893649,Wendling Beck
Somerford Keynes,Thames,0144TH,1.4,51.650724,0.363,-1.973061,Somerford Keynes
Hornby,Wenning,724528,1.4,54.109696,0.2,-2.63518,Hornby
Sheffield,River Don,L0607,0.806,53.385355,0.387,-1.462585,Sheffield Lady's Bridge
Gowdall,River Aire,L1814,3.3,53.695235,0.104,-1.041398,Gowdall Ings
Burneside,Sprint,730203,1.2,54.358126,0.132,-2.748154,"Sprint Mill, Kendal"
Hythe End,Colne Brook,2899TH,1,51.441951,0.605,-0.535697,Hythe Weir
Thornborough,River Ouse,E60901,0.624,52.011485,0.318,-0.9309,Thornborough
Hoylake,Birket,685520,0.49,53.396899,0.024,-3.151606,Fornalls Bridge
Sticklepath,River Taw,50149,0.537,50.737824,0.057,-3.917597,Sticklepath
Falstone,River North Tyne,023053,0.73,55.176863,0.073,-2.435206,Falstone
Walsall,River Tame,4081,1.247,52.560205,0.318,-1.983428,Bescot
Wick,River Boyd,53149,0.331,51.453682,0.009,-2.430325,Wick
Sunbury,Thames,3101TH,0.272,51.399708,0.055,-0.4156,Sunbury  Lock
Burgh Castle,River Yare,E24812,1.6,52.578191,0.419,1.650242,Burgh Castle
Bishop Auckland,River Gaunless,024000,1.31,54.649317,0.084,-1.662117,South Church
Burton Bradstock,River Bride,44120,0.531,50.701633,0.156,-2.725949,Burton Bradstock
Abbey Heath,Little Ouse,E23730,0.5,52.425882,0.127,0.720787,Abbey Heath
Boscastle,River Valency,49173,0.73,50.690388,0.011,-4.632983,Boscastle Anderton Ford
Walden Stubbs,River Went,F0920,0.75,53.64031,0.161,-1.168065,Walden Stubbs
Gosforth,Ouse Burn,023016,1.1,55.001412,0.047,-1.604452,Crag Hall
Plympton,Long Brook,47120,1,50.387125,0.005,-4.061716,Plympton
Poynton,Poynton Brook,692500,0.203,54.240073,0.045,-2.130378,Poynton
Wroxham,River Bure,E22129,0.75,52.699909,0,1.42677,Hoveton Broad
Penzance,Ponsandane Stream,48189,0.85,50.126751,0.187,-5.525305,Penzance Tesco
Ecclesfield,Whitley Brook,L06601,0.5,53.442704,0.009,-1.459031,Ecclesfield Morrisons
Watford,Colne,2830TH,0.6,51.670654,0.12,-0.380235,Watford
Cove,Cove Brook,2432TH,1.6,51.306404,0.795,-0.772253,Mayfield Road
Shardlow,River Trent,4007,1.7,52.865431,0.413,-1.335368,Shardlow
Hendon,Silk Stream,3829TH,0.75,51.591209,0.099,-0.244516,Colindale
Loweswater,Cocker,751612,0.973,54.58069,0.312,-3.317998,Scalehill Upper Lorton Valley
Stathe,West Sedgemoor Drain,52155,1.57,51.053596,0.46,-2.891722,West Sedgemoor PS
Masham,River Ure,L2205,2.3,54.226907,0.142,-1.654836,Masham
Athelney,River Tone,52118,4.297,51.054966,1.713,-2.936065,Currymoor PS
Hawthorpe,East Glen (To Kates Bridge),E2896,1.08,52.833221,0.025,-0.460655,Irnham
Heaton Mill,River Till,021038,unknown,55.674801,unknown,-2.160923,Heaton Mill
Charlwood,Mole,3210TH,1.8,51.144764,0.179,-0.19953,Gatwick Airport
Sidlow,Mole,3240TH,1.4,51.201071,0.123,-0.194473,Kinnersley Manor
Skew Bridge   Carlisle,River Caldew,765090,1.099,54.891143,0.348,-2.9382,Skew Bridge   Carlisle
Dorking,Mole,3270TH,1.3,51.238425,0.091,-0.311198,Dorking
Rotherham,River Don,F0600,1.7,53.430253,0.233,-1.358801,Rotherham Tesco
Winchester,Itchen,E12450,0.78,51.061255,0.389,-1.307865,City Mill
Knightwick,River Teme,2029,5.2,52.198971,0.307,-2.389281,Knightsford Bridge
Mossley,Tame,692440,0.885,53.514723,0.392,-2.038394,Waggon Road
Hazeley,Hart,2458TH,0.47,51.32671,0.095,-0.917374,Bramshill
Little Bowden,Jordan,E1183,0.76,52.473218,0.015,-0.911988,River Jordan
Watchfield,Cole,0730TH,0.84,51.616448,0.372,-1.666745,Westmill Bridge
Glastonbury,River Brue,52206,0.494,51.136761,0.153,-2.724464,Clyse Hole
Upper Inglesham,Cole,0790TH,0.8,51.670899,0.1,-1.700313,Inglesham
Godalming,Wey,3054TH,2.34,51.188851,1.75,-0.617671,Westbrook Mill
Buckingham,River Ouse,E25055,0.525,51.998052,0.128,-0.992004,Buckingham
Knottingley,River Aire,L1805,4.5,53.709917,0.434,-1.227295,Knottingley Lock
Cheltenham,Chelt,2650,0.662,51.91358,0.343,-2.100884,Arle
Carlisle,Eden,765512,3.45,54.90486,0.63,-2.952852,Sheepmount
Blackhall Mill,River Derwent,023044,1.24,54.905964,0.146,-1.812313,Blackhall Mill
Croston,Lostock,700509,2.7,53.670881,0.21,-2.762213,Littlewood Bridge
Southwell,River Greet,4072,1.05,53.077901,0.135,-0.934277,Southwell
West End,River Bure,E24803,1.6,52.626317,-0.3,1.699909,Three Mile House
Bascote,River Itchen,2613,0.682,52.260974,0.085,-1.408027,Southam
Nantwich,Weaver,680324,0.996,53.061892,0.397,-2.526064,Shrewbridge
Portland,Dorset Coast,44111,unknown,50.56481,unknown,-2.467283,Chiswell
Rowlands Gill,River Derwent,023007,unknown,54.917259,unknown,-1.73922,Rowlands Gill
Cassington,Evenlode,1290_w2TH,0.77,51.786053,0.144,-1.351198,Cassington Weir B
Shalford,River Pant,E22022,2.45,51.938949,0.325,0.502982,Shalford
Harbertonford,River Harbourne,46127,0.37,50.391073,0.002,-3.701021,Harbertonford
Blaston,Medbourne Brook,E4828,3.57,52.546177,0.22,-0.832027,Medbourne Flood Storage Reservoir
Stroud,Frome (MI),2205,0.95,51.723799,0.359,-2.199658,Brimscombe
Felsted,River Chelmer,E22862,1.15,51.847313,0.051,0.423072,Felsted
Ashley,By Brook,53130,0.721,51.418046,0.194,-2.268627,Middlehill
Houghton,River Ouse,E21163,0.452,52.330674,0.256,-0.120798,Houghton
Pokesdown,River Stour,43215,2.5,50.740946,-0.109,-1.806054,Iford Bridge
Kennford,RHB Trib River Kenn,45170,0.22,50.667557,0.039,-3.538622,Kennford
Studley,River Arrow,2094,0.812,52.274092,0.505,-1.88959,Studley
Ponteland,River Pont,022013,0.85,55.049407,0,-1.741713,Callerton Lane
Bishops Hull,River Tone,52109,0.543,51.019081,0.088,-3.133644,Bishops Hull
Culmstock,River Culm,45133,0.606,50.915853,0.169,-3.279962,Culmstock
Apperley,River Severn,2057,4.5,51.948918,0.533,-2.227065,Haw Bridge
Castleton,Batley Beck,L1374,2,53.699596,0.265,-1.630383,Batley Savile Street
Poyle,Poyle Channel,2892TH,1.7,51.477287,0.101,-0.51406,Poyle
Barton Mills,Lark,E60201,0.279,52.335121,0.21,0.531859,Barton Mills Sluice
Kirkstall,River Aire,L1708,1.9,53.819613,1.439,-1.605025,Kirkstall Abbey
Little Horsted,Uck,E8293,1.5,50.951995,0.052,0.074349,Isfield weir
Alconbury Weston,Alconbury Brook,E19027,0.88,52.377001,0.188,-0.269421,Alconbury Weston
Helmshore,Ogden Brook,690142,0.339,53.684084,0.014,-2.331538,Little Bridge
Pangbourne,Pang,2190TH,0.336,51.484617,0.079,-1.087613,Pangbourne
Goole,River Ouse,L24013,unknown,53.701941,unknown,-0.866423,Goole
Halesowen,River Stour (Worcs),2516,0.786,52.462884,0.454,-2.061427,Halesowen
Torquay,Tide,TORQ,unknown,50.458178,unknown,-3.525069,Torquay Outer
Sheepbridge,River Whitting,F0220,0.75,53.267955,0.06,-1.437699,Sheepbridge
Woolsthorpe by Belvoir,River Devon,4198,0.82,52.899642,0.51,-0.758767,Woolsthorpe
Cross Hills,Eastburn Beck,F1525,1,53.902947,0.124,-1.969516,Cross Hills
Wilmington,Umborne Brook,45221,0.481,50.795699,0.189,-3.111486,Wilmington
Brighouse,River Calder,L1202,0.8,53.702343,0,-1.793951,Brighouse
Keswick,Greta,750832,3,54.603631,0.948,-3.142486,Greta Bridge
Oxford,Cherwell,1491TH,2.069,51.756247,1.631,-1.238765,Kings Mill
Accrington,Calder,712370,0.389,53.755632,0.23,-2.367683,Milnshaw
Wightwick,Smestow Brook,2641,0.406,52.582389,0.197,-2.192192,Wightwick
Uxbridge,Pinn,2888TH,1.7,51.547893,0.691,-0.46447,"Uxbridge, Hercies Road"
Edgware,Deans Brook,3822TH,1.7,51.617793,0.817,-0.26653,"Edgware, Deans Brook"
Whittonditch,Aldbourne,2229_w1TH,0.174,51.443821,0.073,-1.584692,Ramsbury Main
Atherstone On Stour,River Stour (Warks),2010,0.673,52.153735,0.12,-1.697245,Alscot Park
Quedgeley,Dimore Brook,2270,1,51.819013,0,-2.28698,Field Court Road
Totnes,Tide,46155,unknown,50.428979,unknown,-3.681414,Totnes
Dallam,Sankey Brook,694039,2.2,53.425318,0.209,-2.62207,Causey Bridge
Eden Park,St James Stream,4335TH,0.86,51.391876,0.02,-0.03662,Upper Elmers End
Burton,River Avon,43118,0.643,50.748085,0.329,-1.780015,Knapp Mill
Polesworth,River Anker,4026,0.703,52.627897,0.122,-1.613026,Polesworth
Carleton,Petteril,764050,1.5,54.853151,0.356,-2.881322,Newbiggin Bridge
Hartburn,Hartburn Beck,L3937,0.852,54.54999,0.413,-1.365536,Stockton Hartburn Bridge
Ermington,River Erme,46118,0.601,50.363074,0.178,-3.911208,Ermington
Hougham,Upper Witham - South,E4225,1.69,52.986895,0.708,-0.680145,Hougham
Swaton,South Forty Foot,E4485,1.45,52.922105,0.15,-0.319165,Swaton
Polperro,Pol River,49118,0.6,50.33114,0.001,-4.52005,Polperro
Gurnard,Medina,E14670,0.75,50.755479,0.065,-1.333222,Gurnard
Lode,Quy Water,E21191,0.397,52.242159,0.055,0.240538,Lode
Calder Bridge,River Calder,743509,2.5,54.426631,0.16,-3.489083,Calder Hall
Hatherleigh,River Lew,50121,0.678,50.793303,0.094,-4.090425,Gribbleford Bridge
Wellow,Wellow Brook,53121,0.992,51.320458,0.357,-2.373786,Wellow
Wistaston Green,Valley Brook,680403,0.553,53.092995,0.175,-2.488097,Marshfield Bridge
Crondall,Hart,2451TH,0.8,51.232867,-0.35,-0.864146,Crondall Pond
Lowick,Harpers Brook,E2655,1.29,52.408276,0.089,-0.556349,Harpers Brook
